production_id,date,shift,production_line,machine,product,operator_count,target_qty,actual_qty,good_qty,reject_qty,downtime_min,planned_time_min,cycle_time,defect_type,downtime_reason
1,2026-04-30,Morning,L3,M4,PRODUCT_A,6,928,1062,1052,10,101,480,0.73,No Defect,
2,2026-04-29,Morning,L2,M3,PRODUCT_C,8,925,1062,1052,10,80,480,0.76,No Defect,
3,2026-04-28,Morning,L3,M3,PRODUCT_C,5,1164,1062,1052,10,60,480,0.63,Color Defect,Setup/Changeover
4,2026-04-27,Morning,L1,M4,PRODUCT_B,7,998,1062,1052,10,86,480,0.55,No Defect,Maintenance
5,2026-04-26,Morning,L3,M3,PRODUCT_C,4,1083,1062,1052,10,75,480,0.41,No Defect,Material Shortage
6,2026-04-25,Morning,L1,M5,PRODUCT_C,4,1132,1062,1052,10,49,480,0.55,Surface Defect,Machine Breakdown
7,2026-04-24,Morning,L2,M4,PRODUCT_B,6,1073,1062,1052,10,29,480,0.42,No Defect,
8,2026-04-23,Morning,L2,M4,PRODUCT_A,4,1035,1062,1052,10,34,480,0.69,No Defect,Machine Breakdown
9,2026-04-22,Morning,L1,M3,PRODUCT_C,4,1145,1062,1052,10,96,480,0.54,Dimension Error,Setup/Changeover
10,2026-04-21,Morning,L1,M5,PRODUCT_C,6,1187,1062,1052,10,57,480,0.48,No Defect,Machine Breakdown
11,2026-04-20,Morning,L3,M5,PRODUCT_B,5,1160,1062,1052,10,55,480,0.55,No Defect,Setup/Changeover
12,2026-04-19,Morning,L3,M1,PRODUCT_B,7,1097,1062,1052,10,31,480,0.36,Scratch,Maintenance
13,2026-04-18,Morning,L2,M2,PRODUCT_B,5,1004,1062,1052,10,120,480,0.77,No Defect,
14,2026-04-17,Morning,L3,M5,PRODUCT_B,4,1188,1062,1052,10,36,480,0.5,No Defect,
15,2026-04-16,Morning,L1,M6,PRODUCT_C,5,1071,1062,1052,10,86,480,0.67,Color Defect,
16,2026-04-15,Morning,L3,M6,PRODUCT_A,4,1107,1062,1052,10,46,480,0.6,No Defect,Material Shortage
17,2026-04-14,Morning,L1,M2,PRODUCT_A,8,1000,1062,1052,10,103,480,0.45,No Defect,Material Shortage
18,2026-04-13,Morning,L1,M5,PRODUCT_B,7,1112,1062,1052,10,38,480,0.42,Surface Defect,Maintenance
19,2026-04-12,Morning,L3,M5,PRODUCT_C,5,982,1062,1052,10,29,480,0.37,No Defect,Setup/Changeover
20,2026-04-11,Morning,L2,M6,PRODUCT_B,6,1054,1062,1052,10,19,480,0.76,No Defect,
21,2026-04-10,Morning,L1,M4,PRODUCT_B,5,993,1062,1052,10,80,480,0.45,Dimension Error,Maintenance
22,2026-04-09,Morning,L2,M5,PRODUCT_A,6,1129,1062,1052,10,69,480,0.53,No Defect,
23,2026-04-08,Morning,L1,M3,PRODUCT_C,6,1137,1062,1052,10,89,480,0.44,No Defect,Maintenance
24,2026-04-07,Morning,L1,M6,PRODUCT_C,7,1092,1062,1052,10,26,480,0.72,Scratch,
25,2026-04-06,Morning,L1,M2,PRODUCT_B,4,1093,1062,1052,10,12,480,0.43,No Defect,
26,2026-04-05,Morning,L1,M6,PRODUCT_C,7,1189,1062,1052,10,71,480,0.74,No Defect,
27,2026-04-04,Morning,L3,M1,PRODUCT_C,6,1181,1062,1052,10,44,480,0.68,Color Defect,Setup/Changeover
28,2026-04-03,Morning,L1,M4,PRODUCT_C,6,1107,1062,1052,10,21,480,0.55,No Defect,Maintenance
29,2026-04-02,Morning,L2,M2,PRODUCT_C,8,982,1062,1052,10,115,480,0.76,No Defect,Maintenance
30,2026-04-01,Morning,L3,M4,PRODUCT_C,5,1105,1062,1052,10,99,480,0.8,Surface Defect,Maintenance
31,2026-03-31,Morning,L2,M5,PRODUCT_C,6,988,1062,1052,10,23,480,0.67,No Defect,Setup/Changeover
32,2026-03-30,Morning,L3,M2,PRODUCT_A,6,1075,1062,1052,10,49,480,0.37,No Defect,Setup/Changeover
33,2026-03-29,Morning,L2,M5,PRODUCT_A,6,1153,1062,1052,10,114,480,0.44,Dimension Error,Machine Breakdown
34,2026-03-28,Evening,L1,M1,PRODUCT_A,8,1180,1062,1052,10,103,480,0.54,No Defect,Maintenance
35,2026-03-27,Morning,L2,M1,PRODUCT_A,7,1185,1062,1052,10,114,480,0.73,No Defect,Setup/Changeover
36,2026-03-26,Morning,L3,M3,PRODUCT_B,7,1044,1062,1052,10,55,480,0.63,Scratch,Setup/Changeover
37,2026-03-25,Morning,L1,M5,PRODUCT_C,5,1125,1062,1052,10,100,480,0.72,No Defect,Setup/Changeover
38,2026-03-24,Morning,L1,M5,PRODUCT_B,4,942,1062,1052,10,81,480,0.71,No Defect,Machine Breakdown
39,2026-03-23,Morning,L3,M5,PRODUCT_C,6,918,1062,1052,10,103,480,0.36,Color Defect,Maintenance
40,2026-03-22,Morning,L3,M1,PRODUCT_A,6,981,1062,1052,10,88,480,0.67,No Defect,Material Shortage
41,2026-03-21,Morning,L3,M1,PRODUCT_A,5,1119,1062,1052,10,120,480,0.7,No Defect,Material Shortage
42,2026-03-20,Morning,L3,M3,PRODUCT_C,8,1096,1062,1052,10,103,480,0.46,Surface Defect,Maintenance
43,2026-03-19,Morning,L1,M1,PRODUCT_A,4,1085,1062,1052,10,99,480,0.43,No Defect,Material Shortage
44,2026-03-18,Morning,L2,M6,PRODUCT_B,7,1129,1062,1052,10,10,480,0.67,No Defect,
45,2026-03-17,Morning,L3,M4,PRODUCT_A,7,1008,1062,1052,10,75,480,0.74,Dimension Error,Material Shortage
46,2026-03-16,Morning,L3,M5,PRODUCT_B,8,1056,1062,1052,10,90,480,0.39,No Defect,Material Shortage
47,2026-03-15,Morning,L1,M2,PRODUCT_B,5,1172,1062,1052,10,110,480,0.72,No Defect,
48,2026-03-14,Morning,L2,M4,PRODUCT_C,8,921,1062,1052,10,57,480,0.77,Scratch,
49,2026-03-13,Morning,L1,M4,PRODUCT_C,6,942,1062,1052,10,28,480,0.54,No Defect,Maintenance
50,2026-03-12,Morning,L1,M4,PRODUCT_A,7,904,1062,1052,10,99,480,0.79,No Defect,Maintenance
51,2026-03-11,Morning,L1,M3,PRODUCT_B,4,940,1062,1052,10,50,480,0.55,Color Defect,Machine Breakdown
52,2026-03-10,Morning,L1,M6,PRODUCT_B,4,1052,1062,1052,10,67,480,0.39,No Defect,Maintenance
53,2026-03-09,Morning,L2,M2,PRODUCT_A,6,913,1062,1052,10,113,480,0.59,No Defect,
54,2026-03-08,Morning,L2,M3,PRODUCT_B,7,1198,1062,1052,10,87,480,0.59,Surface Defect,Material Shortage
55,2026-03-07,Morning,L2,M2,PRODUCT_B,5,1065,1062,1052,10,105,480,0.65,No Defect,Maintenance
56,2026-03-06,Morning,L1,M1,PRODUCT_C,4,906,1062,1052,10,96,480,0.73,No Defect,Maintenance
57,2026-03-05,Morning,L3,M2,PRODUCT_A,5,1170,1062,1052,10,71,480,0.38,Dimension Error,Setup/Changeover
58,2026-03-04,Morning,L2,M1,PRODUCT_C,4,1138,1062,1052,10,100,480,0.66,No Defect,Machine Breakdown
59,2026-03-03,Morning,L1,M1,PRODUCT_A,6,958,1062,1052,10,58,480,0.62,No Defect,Maintenance
60,2026-03-02,Morning,L2,M5,PRODUCT_C,6,1100,1062,1052,10,78,480,0.39,Scratch,
61,2026-03-01,Morning,L3,M5,PRODUCT_C,4,984,1062,1052,10,105,480,0.56,No Defect,Maintenance
62,2026-02-28,Morning,L3,M5,PRODUCT_C,4,1175,1062,1052,10,29,480,0.41,No Defect,Machine Breakdown
63,2026-02-27,Morning,L1,M1,PRODUCT_A,5,1143,1062,1052,10,15,480,0.73,Color Defect,Machine Breakdown
64,2026-02-26,Morning,L2,M6,PRODUCT_B,4,1103,1062,1052,10,36,480,0.42,No Defect,Machine Breakdown
65,2026-02-25,Morning,L3,M3,PRODUCT_B,6,946,1062,1052,10,60,480,0.71,No Defect,Setup/Changeover
66,2026-02-24,Morning,L1,M6,PRODUCT_B,8,1172,1062,1052,10,72,480,0.39,Surface Defect,Setup/Changeover
67,2026-02-23,Morning,L3,M3,PRODUCT_B,4,908,1062,1052,10,110,480,0.56,No Defect,Setup/Changeover
68,2026-02-22,Morning,L1,M3,PRODUCT_C,6,1057,1062,1052,10,116,480,0.44,No Defect,Material Shortage
69,2026-02-21,Morning,L3,M6,PRODUCT_B,8,1043,1062,1052,10,114,480,0.47,Dimension Error,
70,2026-02-20,Morning,L1,M3,PRODUCT_B,6,991,1062,1052,10,21,480,0.63,No Defect,Material Shortage
71,2026-02-19,Morning,L3,M4,PRODUCT_C,4,934,1062,1052,10,45,480,0.47,No Defect,Maintenance
72,2026-02-18,Morning,L3,M2,PRODUCT_B,5,1045,1062,1052,10,89,480,0.42,Scratch,Setup/Changeover
73,2026-02-17,Morning,L3,M3,PRODUCT_B,5,1104,1062,1052,10,95,480,0.72,No Defect,Maintenance
74,2026-02-16,Morning,L2,M5,PRODUCT_B,5,1135,1062,1052,10,27,480,0.55,No Defect,Material Shortage
75,2026-02-15,Morning,L1,M2,PRODUCT_C,4,1128,1062,1052,10,92,480,0.55,Color Defect,Maintenance
76,2026-02-14,Morning,L1,M4,PRODUCT_A,4,1158,1062,1052,10,12,480,0.59,No Defect,Material Shortage
77,2026-02-13,Morning,L2,M4,PRODUCT_C,6,1105,1062,1052,10,10,480,0.79,No Defect,Maintenance
78,2026-02-12,Morning,L3,M4,PRODUCT_C,6,1030,1062,1052,10,85,480,0.4,Surface Defect,Material Shortage
79,2026-02-11,Morning,L3,M5,PRODUCT_C,5,966,1062,1052,10,64,480,0.71,No Defect,Material Shortage
80,2026-02-10,Morning,L3,M1,PRODUCT_C,7,1186,1062,1052,10,106,480,0.58,No Defect,Material Shortage
81,2026-02-09,Morning,L1,M1,PRODUCT_C,6,1136,1062,1052,10,26,480,0.52,Dimension Error,
82,2026-02-08,Morning,L3,M4,PRODUCT_A,7,934,1062,1052,10,72,480,0.56,No Defect,
83,2026-02-07,Morning,L1,M4,PRODUCT_B,5,1037,1062,1052,10,70,480,0.5,No Defect,Machine Breakdown
84,2026-02-06,Morning,L2,M4,PRODUCT_C,5,1020,1062,1052,10,107,480,0.43,Scratch,Maintenance
85,2026-02-05,Morning,L1,M3,PRODUCT_C,6,967,1062,1052,10,100,480,0.53,No Defect,
86,2026-02-04,Morning,L1,M2,PRODUCT_A,6,1015,1062,1052,10,55,480,0.76,No Defect,Maintenance
87,2026-02-03,Morning,L2,M4,PRODUCT_A,4,1140,1062,1052,10,65,480,0.4,Color Defect,Machine Breakdown
88,2026-02-02,Morning,L1,M5,PRODUCT_A,7,958,1062,1052,10,430,480,0.61,No Defect,Material Shortage
89,2026-02-01,Morning,L2,M4,PRODUCT_B,7,943,1062,1052,10,78,480,0.64,No Defect,Setup/Changeover
90,2026-01-31,Morning,L3,M5,PRODUCT_A,6,908,1062,1052,10,80,480,0.38,Surface Defect,Material Shortage
91,2026-01-30,Morning,L3,M4,PRODUCT_C,7,1083,1062,1052,10,16,480,0.56,No Defect,Machine Breakdown
92,2026-01-29,Morning,L1,M4,PRODUCT_B,5,1080,1062,1052,10,104,480,0.55,No Defect,Material Shortage
93,2026-01-28,Morning,L2,M2,PRODUCT_B,7,976,1062,1052,10,18,480,0.63,Dimension Error,Setup/Changeover
94,2026-01-27,Morning,L3,M3,PRODUCT_B,7,1006,1062,1052,10,75,480,0.76,No Defect,Setup/Changeover
95,2026-01-26,Morning,L2,M2,PRODUCT_C,6,1146,1062,1052,10,84,480,0.76,No Defect,Maintenance
96,2026-01-25,Morning,L1,M4,PRODUCT_A,6,1094,1062,1052,10,61,480,0.51,Scratch,Setup/Changeover
97,2026-01-24,Morning,L3,M1,PRODUCT_B,5,930,1062,1052,10,74,480,0.62,No Defect,Maintenance
98,2026-01-23,Morning,L3,M4,PRODUCT_B,6,1077,1062,1052,10,32,480,0.46,No Defect,Setup/Changeover
99,2026-01-22,Morning,L3,M1,PRODUCT_B,4,999,1062,1052,10,69,480,0.65,Color Defect,
100,2026-01-21,Morning,L2,M3,PRODUCT_C,7,978,1062,1052,10,31,480,0.42,No Defect,Maintenance
101,2026-01-20,Morning,L1,M2,PRODUCT_A,7,1142,1062,1052,10,94,480,0.52,No Defect,Material Shortage
102,2026-01-19,Morning,L2,M6,PRODUCT_A,7,1175,1062,1052,10,40,480,0.64,Surface Defect,Material Shortage
103,2026-01-18,Morning,L1,M2,PRODUCT_B,8,1058,1062,1052,10,23,480,0.36,No Defect,Setup/Changeover
104,2026-01-17,Morning,L2,M4,PRODUCT_B,4,1115,1062,1052,10,21,480,0.52,No Defect,Maintenance
105,2026-01-16,Morning,L3,M3,PRODUCT_B,6,1125,1062,1052,10,37,480,0.35,Dimension Error,Maintenance
106,2026-01-15,Morning,L3,M5,PRODUCT_A,4,1126,1062,1052,10,50,480,0.6,No Defect,
107,2026-01-14,Morning,L3,M5,PRODUCT_C,7,1092,1062,1052,10,50,480,0.77,No Defect,Setup/Changeover
108,2026-01-13,Morning,L2,M4,PRODUCT_A,8,1006,1062,1052,10,115,480,0.65,Scratch,
109,2026-01-12,Morning,L3,M2,PRODUCT_A,4,1014,1062,1052,10,83,480,0.43,No Defect,Setup/Changeover
110,2026-01-11,Morning,L2,M3,PRODUCT_A,6,938,1062,1052,10,13,480,0.7,No Defect,Maintenance
111,2026-01-10,Morning,L2,M6,PRODUCT_C,8,1027,1062,1052,10,36,480,0.76,Color Defect,Maintenance
112,2026-01-09,Morning,L3,M3,PRODUCT_A,4,977,1062,1052,10,20,480,0.66,No Defect,Setup/Changeover
113,2026-01-08,Morning,L2,M1,PRODUCT_B,5,1196,1062,1052,10,11,480,0.41,No Defect,
114,2026-01-07,Morning,L1,M2,PRODUCT_B,8,909,1062,1052,10,45,480,0.58,Surface Defect,
115,2026-01-06,Morning,L2,M5,PRODUCT_C,4,1002,1062,1052,10,56,480,0.38,No Defect,Machine Breakdown
116,2026-01-05,Morning,L1,M5,PRODUCT_B,7,1051,1062,1052,10,33,480,0.6,No Defect,Machine Breakdown
117,2026-01-04,Morning,L1,M5,PRODUCT_B,7,1100,1062,1052,10,19,480,0.54,Dimension Error,Material Shortage
118,2026-01-03,Morning,L2,M5,PRODUCT_C,8,920,1062,1052,10,84,480,0.41,No Defect,Material Shortage
